1347.7,21.9,34.46,37.88,48.56,30.36,19.66,37.96,22.44,47,22.34,14.98,35.54,26.76,0.24,33.72,17.12,41.72,38.64,42.8,4.64,35.14,15.82,13.4,18.04,5.36,30.04,29.7,28.06,32.42,8.16,27.92,30.86,43.5,3.16,36.76,24.84,37.1,38.8,39.48,23.22,25.7,24.44,27.06,15.48,30.5,1.46,34.34,29.96,30.18
34.56,1285.46,27.44,19.52,41.2,18.08,13.28,15.34,29.52,20.46,14.66,23.58,36.6,4.72,8.04,41.56,20.22,14.94,9.44,21.82,20.44,27.22,17.92,10.52,1.44,22.94,46.62,23.86,8.94,10.6,25.1,33.98,41.52,12.94,48.1,33.62,35.26,42.88,47.84,14.38,41.74,41.28,21.72,44.84,27.04,44.92,46.66,10.26,12.74,45.04
3.52,45.8,1220.86,44.5,18.94,8.42,5.92,21.14,29.74,42.32,29.66,37.58,12.84,7.7,1.18,34.94,49.76,32.78,42.28,18.98,33.24,33.5,0.14,12.5,24.32,21.98,37.16,10.16,10.34,19.22,35.7,4.3,9.86,32.08,5.34,18.14,38.56,12.7,30.56,23.98,2.12,41.12,10.58,45.52,35.28,42.7,33.68,2.88,14.3,4.98
48.16,44.48,44.22,1409,29.72,47.32,1.2,3.6,26.42,6.64,37.12,31.18,6.96,31.24,31.42,48.04,28.76,34.96,33.78,45.66,13.14,40.28,6.12,41.36,4.68,31.32,7.52,12.4,49.44,36.74,16.76,11.14,28.8,29.46,48.84,5.64,28.2,32.64,48.26,33.86,42.58,3.22,0.2,19.64,28.34,47.9,24.48,49.92,11.3,39.46
34.5,10.38,21.74,39.28,1390.22,37.38,3.2,39.58,33.96,30.16,16.8,15.6,15.88,31.72,43.44,42.34,10.82,5.96,27.72,3.34,7.82,12.34,20.94,13.68,45.5,49.8,29.36,48.82,37.34,2.48,49.24,31.48,34.74,30,39.08,20.92,29.48,15.44,38.2,2.66,38.82,25.5,47.8,40.34,4.34,48.96,26.02,27.1,39.64,44.1
30.34,46.06,19.16,47.18,21.34,1468.78,11.5,12.86,3.44,21.78,47.74,26.72,17.02,19.08,36.46,2.46,28.46,3.24,39.14,26.68,45.06,44.54,34.38,49.88,41.42,27.94,43.76,32.52,48.74,48.38,27.3,16.92,28.96,35.64,39.44,26.74,46.64,38.12,9.42,28.56,16.22,3.3,44.44,26.34,36.02,42.36,17.7,40.86,0.3,42.74
43.48,49.26,19.78,11.04,7.42,2.56,1286.7,29.28,40.04,39.4,38.34,35.72,14.18,43.04,13.42,32.86,5.56,33.82,48.02,8.98,35.36,17.9,42.1,4.9,27.88,4.84,3.62,10.5,0.92,44.24,46.1,37.3,44.04,11.66,41.68,9.26,14.28,20.96,39.78,8.18,37.48,4.28,14.82,1.84,14.46,48.22,37.18,48.42,35.94,40.48
43.32,31.88,34.42,7.2,43.88,31.38,46.3,1196.64,16.88,0.8,27.02,49.12,21.56,36.8,44.08,37.8,12.96,44.12,19.9,9.1,42.04,1,11.6,4.62,33.36,16.36,12.78,34,38.38,2.78,18.42,2.22,18.86,18.16,12.6,1.1,16.66,4.88,25.82,47.38,4.92,15.98,48.78,14.54,47.4,31.34,8.14,36.56,8.54,27.82
4.42,31.36,32.02,18.82,25.36,26.54,33.1,43.92,1172.3,36.94,39.02,25.54,13.8,23.3,36.36,4.5,32.1,44.76,8.46,24.46,33.22,40.16,0.32,18.36,43.86,11.82,17.78,26.06,5.16,44.38,49.22,39.5,29.3,6.42,10.74,3.68,7.04,30.92,23.02,20.56,13.48,27.68,2.92,29.22,16.7,15.38,39.9,41.86,6.02,2.76
45.86,25.08,17.8,48.32,17.96,47.86,20.84,8.64,0.66,1313.2,16.96,21.94,38.24,35.22,0.82,0.36,25,20.7,6.9,3.42,8.88,37.98,49.74,45.92,39.68,26.7,32.8,30.94,25.42,19.38,31.26,40.1,22.86,22.2,36.24,22.88,22.12,17.94,19.88,27.5,29.8,20.4,41.66,18.12,43.98,4.16,16.06,46.08,8.28,13.38
